"species","kingdom","phylum","class"
"Anatis mali","Animalia","Arthropoda","Insecta"
"Peniophora rufa","Fungi","Basidiomycota","Agaricomycetes"
"Otiorhynchus singularis","Animalia","Arthropoda","Insecta"
"Bittacomorpha clavipes","Animalia","Arthropoda","Insecta"
"Acer spicatum","Plantae","Tracheophyta","Magnoliopsida"
"Euodynerus hidalgo","Animalia","Arthropoda","Insecta"
"Setophaga magnolia","Animalia","Chordata","Aves"
"Phalangium opilio","Animalia","Arthropoda","Arachnida"
"Viburnum recognitum","Plantae","Tracheophyta","Magnoliopsida"
"Menidia menidia","Animalia","Chordata","Actinopterygii"
"Potentilla norvegica","Plantae","Tracheophyta","Magnoliopsida"
"Saccharina latissima","Chromista","Ochrophyta","Phaeophyceae"
"Fragaria virginiana","Plantae","Tracheophyta","Magnoliopsida"
"Fundulus diaphanus","Animalia","Chordata","Actinopterygii"
"Misumena vatia","Animalia","Arthropoda","Arachnida"
"Philanthus bilunatus","Animalia","Arthropoda","Insecta"
"Diplolepis polita","Animalia","Arthropoda","Insecta"
"Calopogon tuberosus","Plantae","Tracheophyta","Liliopsida"
"Arion subfuscus","Animalia","Mollusca","Gastropoda"
"Tetracis cachexiata","Animalia","Arthropoda","Insecta"
"Symphyotrichum novae-angliae","Plantae","Tracheophyta","Magnoliopsida"
"Camponotus pennsylvanicus","Animalia","Arthropoda","Insecta"
"Hygrocybe flavescens","Fungi","Basidiomycota","Agaricomycetes"
"Oxalis stricta","Plantae","Tracheophyta","Magnoliopsida"
"Sphinx poecila","Animalia","Arthropoda","Insecta"
"Dolichoderus taschenbergi","Animalia","Arthropoda","Insecta"
"Metridium senile","Animalia","Cnidaria","Anthozoa"
"Larus smithsonianus","Animalia","Chordata","Aves"
"Dolomedes scriptus","Animalia","Arthropoda","Arachnida"
"Branta canadensis","Animalia","Chordata","Aves"
"Rubus flagellaris","Plantae","Tracheophyta","Magnoliopsida"
"Athyrium asplenioides","Plantae","Tracheophyta","Polypodiopsida"
"Arethusa bulbosa","Plantae","Tracheophyta","Liliopsida"
"Smerinthus cerisyi","Animalia","Arthropoda","Insecta"
"Phyllodesma americana","Animalia","Arthropoda","Insecta"
"Vertebrata lanosa","Plantae","Rhodophyta","Florideophyceae"
"Trichaptum biforme","Fungi","Basidiomycota","Agaricomycetes"
"Photinus corrusca","Animalia","Arthropoda","Insecta"
"Mitrula elegans","Fungi","Ascomycota","Geoglossomycetes"
"Argia fumipennis","Animalia","Arthropoda","Insecta"
"Microglossum rufum","Fungi","Ascomycota","Leotiomycetes"
"Acericecis ocellaris","Animalia","Arthropoda","Insecta"
"Dolomedes triton","Animalia","Arthropoda","Arachnida"
"Porpidia crustulata","Fungi","Ascomycota","Lecanoromycetes"
"Dryopteris intermedia","Plantae","Tracheophyta","Polypodiopsida"
"Viburnum lentago","Plantae","Tracheophyta","Magnoliopsida"
"Bombylius major","Animalia","Arthropoda","Insecta"
"Dryocosmus quercuspalustris","Animalia","Arthropoda","Insecta"
"Xanthoria parietina","Fungi","Ascomycota","Lecanoromycetes"
"Cakile edentula","Plantae","Tracheophyta","Magnoliopsida"
"Hamamelis virginiana","Plantae","Tracheophyta","Magnoliopsida"
"Procambarus acutus","Animalia","Arthropoda","Malacostraca"
"Palmaria palmata","Plantae","Rhodophyta","Florideophyceae"
"Lophodytes cucullatus","Animalia","Chordata","Aves"
"Chlosyne harrisii","Animalia","Arthropoda","Insecta"
"Cheilosia fraterna","Animalia","Arthropoda","Insecta"
"Lophocampa caryae","Animalia","Arthropoda","Insecta"
"Cathormiocerus aristatus","Animalia","Arthropoda","Insecta"
"Ulva intestinalis","Plantae","Chlorophyta","Ulvophyceae"
"Barbarea vulgaris","Plantae","Tracheophyta","Magnoliopsida"
"Oxalis montana","Plantae","Tracheophyta","Magnoliopsida"
"Enoplognatha ovata","Animalia","Arthropoda","Arachnida"
"Anax junius","Animalia","Arthropoda","Insecta"
"Viola macloskeyi","Plantae","Tracheophyta","Magnoliopsida"
"Chrysops niger","Animalia","Arthropoda","Insecta"
"Monochamus scutellatus","Animalia","Arthropoda","Insecta"
"Megacollybia rodmanii","Fungi","Basidiomycota","Agaricomycetes"
"Strangalepta abbreviata","Animalia","Arthropoda","Insecta"
"Otiorhynchus ovatus","Animalia","Arthropoda","Insecta"
"Euptychia cymela","Animalia","Arthropoda","Insecta"
"Catharus ustulatus","Animalia","Chordata","Aves"
"Libellula julia","Animalia","Arthropoda","Insecta"
"Pyrola americana","Plantae","Tracheophyta","Magnoliopsida"
"Propylaea quatuordecimpunctata","Animalia","Arthropoda","Insecta"
"Fuligo septica","Protozoa","Mycetozoa","Myxomycetes"
"Calvia quatuordecimguttata","Animalia","Arthropoda","Insecta"
"Ameiurus nebulosus","Animalia","Chordata","Actinopterygii"
"Dryopteris carthusiana","Plantae","Tracheophyta","Polypodiopsida"
"Strophosoma melanogrammum","Animalia","Arthropoda","Insecta"
"Sambucus racemosa","Plantae","Tracheophyta","Magnoliopsida"
"Hemaris thysbe","Animalia","Arthropoda","Insecta"
"Phidippus purpuratus","Animalia","Arthropoda","Arachnida"
"Trifolium aureum","Plantae","Tracheophyta","Magnoliopsida"
"Roeseliana roeselii","Animalia","Arthropoda","Insecta"
"Synanthedon acerni","Animalia","Arthropoda","Insecta"
"Geranium robertianum","Plantae","Tracheophyta","Magnoliopsida"
"Campaea perlata","Animalia","Arthropoda","Insecta"
"Chrysopa oculata","Animalia","Arthropoda","Insecta"
"Dolomedes tenebrosus","Animalia","Arthropoda","Arachnida"
"Cladonia rangiferina","Fungi","Ascomycota","Lecanoromycetes"
"Ranunculus acris","Plantae","Tracheophyta","Magnoliopsida"
"Eurycea bislineata","Animalia","Chordata","Amphibia"
"Malacosoma americana","Animalia","Arthropoda","Insecta"
"Lysimachia maritima","Plantae","Tracheophyta","Magnoliopsida"
"Rhagio mystacea","Animalia","Arthropoda","Insecta"
"Betula papyrifera","Plantae","Tracheophyta","Magnoliopsida"
"Vireo solitarius","Animalia","Chordata","Aves"
"Prunus pensylvanica","Plantae","Tracheophyta","Magnoliopsida"
"Setophaga fusca","Animalia","Chordata","Aves"
"Deciduphagus augustinus","Animalia","Arthropoda","Insecta"
"Pipilo erythrophthalmus","Animalia","Chordata","Aves"
"Hormaphis hamamelidis","Animalia","Arthropoda","Insecta"
"Sorbus americana","Plantae","Tracheophyta","Magnoliopsida"
"Arthromacra aenea","Animalia","Arthropoda","Insecta"
"Viola sororia","Plantae","Tracheophyta","Magnoliopsida"
"Filipendula ulmaria","Plantae","Tracheophyta","Magnoliopsida"
"Salvelinus fontinalis","Animalia","Chordata","Actinopterygii"
"Phycodrys rubens","Plantae","Rhodophyta","Florideophyceae"
"Plumaria plumosa","Plantae","Rhodophyta","Florideophyceae"
"Irpex lacteus","Fungi","Basidiomycota","Agaricomycetes"
"Nabalus trifoliolatus","Plantae","Tracheophyta","Magnoliopsida"
"Xanthorhiza simplicissima","Plantae","Tracheophyta","Magnoliopsida"
"Angelica lucida","Plantae","Tracheophyta","Magnoliopsida"
"Lonicera villosa","Plantae","Tracheophyta","Magnoliopsida"
"Idotea balthica","Animalia","Arthropoda","Malacostraca"
"Amelanchier arborea","Plantae","Tracheophyta","Magnoliopsida"
"Alca torda","Animalia","Chordata","Aves"
"Fratercula arctica","Animalia","Chordata","Aves"
"Cladonia coniocraea","Fungi","Ascomycota","Lecanoromycetes"
"Setophaga pensylvanica","Animalia","Chordata","Aves"
"Dryobates pubescens","Animalia","Chordata","Aves"
"Anemone quinquefolia","Plantae","Tracheophyta","Magnoliopsida"
"Opheodrys vernalis","Animalia","Chordata","Reptilia"
"Chamaedaphne calyculata","Plantae","Tracheophyta","Magnoliopsida"
"Pycnoporus cinnabarinus","Fungi","Basidiomycota","Agaricomycetes"
"Veronica serpyllifolia","Plantae","Tracheophyta","Magnoliopsida"
"Dolichoderus plagiatus","Animalia","Arthropoda","Insecta"
"Panthea acronyctoides","Animalia","Arthropoda","Insecta"
"Coptis trifolia","Plantae","Tracheophyta","Magnoliopsida"
"Micranthes virginiensis","Plantae","Tracheophyta","Magnoliopsida"
"Camponotus herculeanus","Animalia","Arthropoda","Insecta"
"Pheucticus ludovicianus","Animalia","Chordata","Aves"
"Phegopteris connectilis","Plantae","Tracheophyta","Polypodiopsida"
"Polygonatum pubescens","Plantae","Tracheophyta","Liliopsida"
"Clostera albosigma","Animalia","Arthropoda","Insecta"
"Lonicera canadensis","Plantae","Tracheophyta","Magnoliopsida"
"Coltricia cinnamomea","Fungi","Basidiomycota","Agaricomycetes"
"Ambystoma maculatum","Animalia","Chordata","Amphibia"
"Phyllotopsis nidulans","Fungi","Basidiomycota","Agaricomycetes"
"Cicindela duodecimguttata","Animalia","Arthropoda","Insecta"
"Cicindela limbalis","Animalia","Arthropoda","Insecta"
"Calidris maritima","Animalia","Chordata","Aves"
"Aureoboletus russellii","Fungi","Basidiomycota","Agaricomycetes"
"Rhodofomes cajanderi","Fungi","Basidiomycota","Agaricomycetes"
"Viola labradorica","Plantae","Tracheophyta","Magnoliopsida"
"Vespula alascensis","Animalia","Arthropoda","Insecta"
"Salix discolor","Plantae","Tracheophyta","Magnoliopsida"
"Geum rivale","Plantae","Tracheophyta","Magnoliopsida"
"Trametes versicolor","Fungi","Basidiomycota","Agaricomycetes"
"Lentinus levis","Fungi","Basidiomycota","Agaricomycetes"
"Melanoplus punctulatus","Animalia","Arthropoda","Insecta"
"Polypodium virginianum","Plantae","Tracheophyta","Polypodiopsida"
"Hemidactylium scutatum","Animalia","Chordata","Amphibia"
"Anagrapha falcifera","Animalia","Arthropoda","Insecta"
"Bubo scandiacus","Animalia","Chordata","Aves"
"Symphyotrichum novi-belgii","Plantae","Tracheophyta","Magnoliopsida"
"Urticina crassicornis","Animalia","Cnidaria","Anthozoa"
"Onchidoris bilamellata","Animalia","Mollusca","Gastropoda"
"Fucus distichus","Chromista","Ochrophyta","Phaeophyceae"
"Omphalotus illudens","Fungi","Basidiomycota","Agaricomycetes"
"Gyromitra esculenta","Fungi","Ascomycota","Pezizomycetes"
"Cryptococcus fagisuga","Animalia","Arthropoda","Insecta"
"Platismatia tuckermanii","Fungi","Ascomycota","Lecanoromycetes"
"Andromeda polifolia","Plantae","Tracheophyta","Magnoliopsida"
"Exidia recisa","Fungi","Basidiomycota","Agaricomycetes"
"Suillus spraguei","Fungi","Basidiomycota","Agaricomycetes"
"Colias eurytheme","Animalia","Arthropoda","Insecta"
"Panellus stipticus","Fungi","Basidiomycota","Agaricomycetes"
"Lobarina scrobiculata","Fungi","Ascomycota","Lecanoromycetes"
"Callicladium imponens","Plantae","Bryophyta","Bryopsida"
"Pheosia rimosa","Animalia","Arthropoda","Insecta"
"Aeshna verticalis","Animalia","Arthropoda","Insecta"
"Poecilus lucublandus","Animalia","Arthropoda","Insecta"
"Sambucus canadensis","Plantae","Tracheophyta","Magnoliopsida"
"Pulveroboletus ravenelii","Fungi","Basidiomycota","Agaricomycetes"
"Photinia floribunda","Plantae","Tracheophyta","Magnoliopsida"
"Draba verna","Plantae","Tracheophyta","Magnoliopsida"
"Fomes fomentarius","Fungi","Basidiomycota","Agaricomycetes"
"Histrionicus histrionicus","Animalia","Chordata","Aves"
"Cladonia maxima","Fungi","Ascomycota","Lecanoromycetes"
"Lucidota atra","Animalia","Arthropoda","Insecta"
"Syrphus rectus","Animalia","Arthropoda","Insecta"
"Entoloma abortivum","Fungi","Basidiomycota","Agaricomycetes"
"Hemileccinum subglabripes","Fungi","Basidiomycota","Agaricomycetes"
"Clangula hyemalis","Animalia","Chordata","Aves"
"Erechtites hieraciifolia","Plantae","Tracheophyta","Magnoliopsida"
"Mergus serrator","Animalia","Chordata","Aves"
"Phytomyza plumiseta","Animalia","Arthropoda","Insecta"
"Bonasa umbellus","Animalia","Chordata","Aves"
"Sympetrum vicinum","Animalia","Arthropoda","Insecta"
"Anas rubripes","Animalia","Chordata","Aves"
"Bucephala albeola","Animalia","Chordata","Aves"
"Vespula acadica","Animalia","Arthropoda","Insecta"
"Corema conradii","Plantae","Tracheophyta","Magnoliopsida"
"Syringa vulgaris","Plantae","Tracheophyta","Magnoliopsida"
"Dacrymyces chrysospermus","Fungi","Basidiomycota","Dacrymycetes"
"Anageshna primordialis","Animalia","Arthropoda","Insecta"
"Enallagma hageni","Animalia","Arthropoda","Insecta"
"Caliroa cerasi","Animalia","Arthropoda","Insecta"
"Oclemena nemoralis","Plantae","Tracheophyta","Magnoliopsida"
"Eumenes crucifera","Animalia","Arthropoda","Insecta"
"Carex folliculata","Plantae","Tracheophyta","Liliopsida"
"Lythrum salicaria","Plantae","Tracheophyta","Magnoliopsida"
"Vaccinium oxycoccos","Plantae","Tracheophyta","Magnoliopsida"
"Triadenum fraseri","Plantae","Tracheophyta","Magnoliopsida"
"Aeshna umbrosa","Animalia","Arthropoda","Insecta"
"Daucus carota","Plantae","Tracheophyta","Magnoliopsida"
"Ulmus americana","Plantae","Tracheophyta","Magnoliopsida"
"Solidago bicolor","Plantae","Tracheophyta","Magnoliopsida"
"Euthamia graminifolia","Plantae","Tracheophyta","Magnoliopsida"
"Acarospora fuscata","Fungi","Ascomycota","Lecanoromycetes"
"Amanita rubescens","Fungi","Basidiomycota","Agaricomycetes"
"Phleum pratense","Plantae","Tracheophyta","Liliopsida"
"Arctium minus","Plantae","Tracheophyta","Magnoliopsida"
"Henricia sanguinolenta","Animalia","Echinodermata","Asteroidea"
"Amanita muscaria","Fungi","Basidiomycota","Agaricomycetes"
"Packera schweinitziana","Plantae","Tracheophyta","Magnoliopsida"
"Andrena milwaukeensis","Animalia","Arthropoda","Insecta"
"Rosa carolina","Plantae","Tracheophyta","Magnoliopsida"
"Crambus albellus","Animalia","Arthropoda","Insecta"
"Cancer borealis","Animalia","Arthropoda","Malacostraca"
"Eurybia radula","Plantae","Tracheophyta","Magnoliopsida"
"Vasates quadripedes","Animalia","Arthropoda","Arachnida"
"Silene latifolia","Plantae","Tracheophyta","Magnoliopsida"
"Lestes congener","Animalia","Arthropoda","Insecta"
"Acer saccharum","Plantae","Tracheophyta","Magnoliopsida"
"Herpyllus ecclesiasticus","Animalia","Arthropoda","Arachnida"
"Himatolabus pubescens","Animalia","Arthropoda","Insecta"
"Ranunculus abortivus","Plantae","Tracheophyta","Magnoliopsida"
"Amanita wellsii","Fungi","Basidiomycota","Agaricomycetes"
"Uria lomvia","Animalia","Chordata","Aves"
"Nigronia serricornis","Animalia","Arthropoda","Insecta"
"Chauliodes rastricornis","Animalia","Arthropoda","Insecta"
"Cladonia apodocarpa","Fungi","Ascomycota","Lecanoromycetes"
"Ancistrocerus antilope","Animalia","Arthropoda","Insecta"
"Berberis thunbergii","Plantae","Tracheophyta","Magnoliopsida"
"Baorangia bicolor","Fungi","Basidiomycota","Agaricomycetes"
"Mangora placida","Animalia","Arthropoda","Arachnida"
"Hesperis matronalis","Plantae","Tracheophyta","Magnoliopsida"
"Hydnellum peckii","Fungi","Basidiomycota","Agaricomycetes"
"Cladonia arbuscula","Fungi","Ascomycota","Lecanoromycetes"
"Leiobunum vittatum","Animalia","Arthropoda","Arachnida"
"Diprion similis","Animalia","Arthropoda","Insecta"
"Usnea strigosa","Fungi","Ascomycota","Lecanoromycetes"
"Verbascum thapsus","Plantae","Tracheophyta","Magnoliopsida"
"Apiosporina morbosa","Fungi","Ascomycota","Dothideomycetes"
"Corvus corax","Animalia","Chordata","Aves"
"Acronicta americana","Animalia","Arthropoda","Insecta"
"Urocerus cressoni","Animalia","Arthropoda","Insecta"
"Betula cordifolia","Plantae","Tracheophyta","Magnoliopsida"
"Pieris rapae","Animalia","Arthropoda","Insecta"
"Pilosella officinarum","Plantae","Tracheophyta","Magnoliopsida"
"Lestes rectangularis","Animalia","Arthropoda","Insecta"
"Araneus marmoreus","Animalia","Arthropoda","Arachnida"
"Euodynerus foraminatus","Animalia","Arthropoda","Insecta"
"Frangula alnus","Plantae","Tracheophyta","Magnoliopsida"
"Hemaris aethra","Animalia","Arthropoda","Insecta"
"Porella platyphylla","Plantae","Marchantiophyta","Jungermanniopsida"
"Phallus indusiatus","Fungi","Basidiomycota","Agaricomycetes"
"Camponotus novaeboracensis","Animalia","Arthropoda","Insecta"
"Pinus resinosa","Plantae","Tracheophyta","Pinopsida"
"Celastrus orbiculatus","Plantae","Tracheophyta","Magnoliopsida"
"Ancistrocerus adiabatus","Animalia","Arthropoda","Insecta"
"Veronica arvensis","Plantae","Tracheophyta","Magnoliopsida"
"Calla palustris","Plantae","Tracheophyta","Liliopsida"
"Kalmia polifolia","Plantae","Tracheophyta","Magnoliopsida"
"Ophiopholis aculeata","Animalia","Echinodermata","Ophiuroidea"
"Juncus balticus","Plantae","Tracheophyta","Liliopsida"
"Aphrophora alni","Animalia","Arthropoda","Insecta"
"Clethra alnifolia","Plantae","Tracheophyta","Magnoliopsida"
"Pleuroprucha insulsaria","Animalia","Arthropoda","Insecta"
"Buteo platypterus","Animalia","Chordata","Aves"
"Dianthus armeria","Plantae","Tracheophyta","Magnoliopsida"
"Cerastipsocus venosus","Animalia","Arthropoda","Insecta"
"Lasallia pensylvanica","Fungi","Ascomycota","Lecanoromycetes"
"Danthonia spicata","Plantae","Tracheophyta","Liliopsida"
"Leuconycta diphteroides","Animalia","Arthropoda","Insecta"
"Spinulum annotinum","Plantae","Tracheophyta","Lycopodiopsida"
"Melanoleuca gravis","Fungi","Basidiomycota","Agaricomycetes"
"Adelphocoris lineolatus","Animalia","Arthropoda","Insecta"
"Leptogium cyanescens","Fungi","Ascomycota","Lecanoromycetes"
"Rubus occidentalis","Plantae","Tracheophyta","Magnoliopsida"
"Melanitta nigra","Animalia","Chordata","Aves"
"Allograpta obliqua","Animalia","Arthropoda","Insecta"
"Taxus canadensis","Plantae","Tracheophyta","Pinopsida"
"Physocephala furcillata","Animalia","Arthropoda","Insecta"
"Carabus serratus","Animalia","Arthropoda","Insecta"
"Udea rubigalis","Animalia","Arthropoda","Insecta"
"Eristalis tenax","Animalia","Arthropoda","Insecta"
"Larus marinus","Animalia","Chordata","Aves"
"Epifagus virginiana","Plantae","Tracheophyta","Magnoliopsida"
"Halyomorpha halys","Animalia","Arthropoda","Insecta"
"Picea abies","Plantae","Tracheophyta","Pinopsida"
"Botryllus schlosseri","Animalia","Chordata","Ascidiacea"
"Cladonia squamosa","Fungi","Ascomycota","Lecanoromycetes"
"Anthophylax cyaneus","Animalia","Arthropoda","Insecta"
"Pyrrharctia isabella","Animalia","Arthropoda","Insecta"
"Hypotrachyna catawbiensis","Fungi","Ascomycota","Lecanoromycetes"
"Sphagnum capillifolium","Plantae","Bryophyta","Sphagnopsida"
"Climacodon septentrionalis","Fungi","Basidiomycota","Agaricomycetes"
"Juniperus horizontalis","Plantae","Tracheophyta","Pinopsida"
"Heterocampa umbrata","Animalia","Arthropoda","Insecta"
"Laetiporus sulphureus","Fungi","Basidiomycota","Agaricomycetes"
"Vicia tetrasperma","Plantae","Tracheophyta","Magnoliopsida"
"Vespula consobrina","Animalia","Arthropoda","Insecta"
"Corvus brachyrhynchos","Animalia","Chordata","Aves"
"Verbena bonariensis","Plantae","Tracheophyta","Magnoliopsida"
"Passer domesticus","Animalia","Chordata","Aves"
"Cantharellula umbonata","Fungi","Basidiomycota","Agaricomycetes"
"Ancistrocerus waldenii","Animalia","Arthropoda","Insecta"
"Turbinellus floccosus","Fungi","Basidiomycota","Agaricomycetes"
"Platycentropus radiatus","Animalia","Arthropoda","Insecta"
"Philaenus spumarius","Animalia","Arthropoda","Insecta"
"Solidago sempervirens","Plantae","Tracheophyta","Magnoliopsida"
"Botrylloides violaceus","Animalia","Chordata","Ascidiacea"
"Lethe eurydice","Animalia","Arthropoda","Insecta"
"Membranipora membranacea","Animalia","Bryozoa","Gymnolaemata"
"Dulichium arundinaceum","Plantae","Tracheophyta","Liliopsida"
"Trichophorum cespitosum","Plantae","Tracheophyta","Liliopsida"
"Sciaphilus asperatus","Animalia","Arthropoda","Insecta"
"Hypotrachyna livida","Fungi","Ascomycota","Lecanoromycetes"
"Taraxacum officinale","Plantae","Tracheophyta","Magnoliopsida"
"Leptoglossus occidentalis","Animalia","Arthropoda","Insecta"
"Vespula maculifrons","Animalia","Arthropoda","Insecta"
"Cirsium arvense","Plantae","Tracheophyta","Magnoliopsida"
"Phlebia tremellosa","Fungi","Basidiomycota","Agaricomycetes"
"Dryopteris cristata","Plantae","Tracheophyta","Polypodiopsida"
"Sericomyia militaris","Animalia","Arthropoda","Insecta"
"Halysidota tessellaris","Animalia","Arthropoda","Insecta"
"Lactarius lignyotus","Fungi","Basidiomycota","Agaricomycetes"
"Mulsantina hudsonica","Animalia","Arthropoda","Insecta"
"Tilia cordata","Plantae","Tracheophyta","Magnoliopsida"
"Setophaga striata","Animalia","Chordata","Aves"
"Populus tremuloides","Plantae","Tracheophyta","Magnoliopsida"
"Araneus cavaticus","Animalia","Arthropoda","Arachnida"
"Gaylussacia bigeloviana","Plantae","Tracheophyta","Magnoliopsida"
"Lehmannia marginata","Animalia","Mollusca","Gastropoda"
"Herminia jacchusalis","Animalia","Arthropoda","Insecta"
"Sorex cinereus","Animalia","Chordata","Mammalia"
"Umbilicaria muhlenbergii","Fungi","Ascomycota","Lecanoromycetes"
"Osmoderma scabra","Animalia","Arthropoda","Insecta"
"Pleurozium schreberi","Plantae","Bryophyta","Bryopsida"
"Chenopodium album","Plantae","Tracheophyta","Magnoliopsida"
"Falcipennis canadensis","Animalia","Chordata","Aves"
"Homarus americanus","Animalia","Arthropoda","Malacostraca"
"Suillus grevillei","Fungi","Basidiomycota","Agaricomycetes"
"Chrysobothris dentipes","Animalia","Arthropoda","Insecta"
"Anurida maritima","Animalia","Arthropoda","Collembola"
"Cortinarius armillatus","Fungi","Basidiomycota","Agaricomycetes"
"Schoenoplectus tabernaemontani","Plantae","Tracheophyta","Liliopsida"
"Gyroporus cyanescens","Fungi","Basidiomycota","Agaricomycetes"
"Thuidium delicatulum","Plantae","Bryophyta","Bryopsida"
"Pseudohydnum gelatinosum","Fungi","Basidiomycota","Agaricomycetes"
"Amanita lavendula","Fungi","Basidiomycota","Agaricomycetes"
"Tringa melanoleuca","Animalia","Chordata","Aves"
"Araneus saevus","Animalia","Arthropoda","Arachnida"
"Umbilicaria deusta","Fungi","Ascomycota","Lecanoromycetes"
"Dicranum scoparium","Plantae","Bryophyta","Bryopsida"
"Leucobryum glaucum","Plantae","Bryophyta","Bryopsida"
"Megaceryle alcyon","Animalia","Chordata","Aves"
"Thyanta custator","Animalia","Arthropoda","Insecta"
"Rhytidiadelphus triquetrus","Plantae","Bryophyta","Bryopsida"
"Chelone glabra","Plantae","Tracheophyta","Magnoliopsida"
"Dalibarda repens","Plantae","Tracheophyta","Magnoliopsida"
"Mnium hornum","Plantae","Bryophyta","Bryopsida"
"Carex pseudocyperus","Plantae","Tracheophyta","Liliopsida"
"Gryllus pennsylvanicus","Animalia","Arthropoda","Insecta"
"Ptilidium ciliare","Plantae","Marchantiophyta","Jungermanniopsida"
"Sphinx chersis","Animalia","Arthropoda","Insecta"
"Lambdina fiscellaria","Animalia","Arthropoda","Insecta"
"Ennomos magnaria","Animalia","Arthropoda","Insecta"
"Arctoparmelia centrifuga","Fungi","Ascomycota","Lecanoromycetes"
"Aeshna interrupta","Animalia","Arthropoda","Insecta"
"Mustela erminea","Animalia","Chordata","Mammalia"
"Suillus americanus","Fungi","Basidiomycota","Agaricomycetes"
"Mertensia maritima","Plantae","Tracheophyta","Magnoliopsida"
"Pennisetia marginata","Animalia","Arthropoda","Insecta"
"Cortinarius caperatus","Fungi","Basidiomycota","Agaricomycetes"
"Aedes sollicitans","Animalia","Arthropoda","Insecta"
"Sitta carolinensis","Animalia","Chordata","Aves"
"Austroboletus gracilis","Fungi","Basidiomycota","Agaricomycetes"
"Dendrolycopodium hickeyi","Plantae","Tracheophyta","Lycopodiopsida"
"Vasates aceriscrumena","Animalia","Arthropoda","Arachnida"
"Rhynchospora alba","Plantae","Tracheophyta","Liliopsida"
"Leccinum aurantiacum","Fungi","Basidiomycota","Agaricomycetes"
"Idaea dimidiata","Animalia","Arthropoda","Insecta"
"Bazzania trilobata","Plantae","Marchantiophyta","Jungermanniopsida"
"Lophocampa maculata","Animalia","Arthropoda","Insecta"
"Dacrymyces stillatus","Fungi","Basidiomycota","Dacrymycetes"
"Solidago rugosa","Plantae","Tracheophyta","Magnoliopsida"
"Tricholoma caligatum","Fungi","Basidiomycota","Agaricomycetes"
"Symphyotrichum lateriflorum","Plantae","Tracheophyta","Magnoliopsida"
"Eoseristalis flavipes","Animalia","Arthropoda","Insecta"
"Phidippus princeps","Animalia","Arthropoda","Arachnida"
"Polytrichum piliferum","Plantae","Bryophyta","Bryopsida"
"Pantala hymenaea","Animalia","Arthropoda","Insecta"
"Chrysosplenium americanum","Plantae","Tracheophyta","Magnoliopsida"
"Pseudochorthippus curtipennis","Animalia","Arthropoda","Insecta"
"Crangon septemspinosa","Animalia","Arthropoda","Malacostraca"
"Usnea hirta","Fungi","Ascomycota","Lecanoromycetes"
"Ligusticum scoticum","Plantae","Tracheophyta","Magnoliopsida"
"Mononeuria groenlandica","Plantae","Tracheophyta","Magnoliopsida"
"Catocala relicta","Animalia","Arthropoda","Insecta"
"Halichondria panicea","Animalia","Porifera","Demospongiae"
"Neotibicen canicularis","Animalia","Arthropoda","Insecta"
"Rhizocarpon lecanorinum","Fungi","Ascomycota","Lecanoromycetes"
"Colpomenia peregrina","Chromista","Ochrophyta","Phaeophyceae"
"Scleroderma citrinum","Fungi","Basidiomycota","Agaricomycetes"
"Larus delawarensis","Animalia","Chordata","Aves"
"Spiranthes ochroleuca","Plantae","Tracheophyta","Liliopsida"
"Nyctanassa violacea","Animalia","Chordata","Aves"
"Cornus rugosa","Plantae","Tracheophyta","Magnoliopsida"
"Porpidia albocaerulescens","Fungi","Ascomycota","Lecanoromycetes"
"Spergularia marina","Plantae","Tracheophyta","Magnoliopsida"
"Alnus incana","Plantae","Tracheophyta","Magnoliopsida"
"Neohelix albolabris","Animalia","Mollusca","Gastropoda"
"Antheraea polyphemus","Animalia","Arthropoda","Insecta"
"Tolype velleda","Animalia","Arthropoda","Insecta"
"Monochamus notatus","Animalia","Arthropoda","Insecta"
"Pedicia albivitta","Animalia","Arthropoda","Insecta"
"Chelone lyonii","Plantae","Tracheophyta","Magnoliopsida"
"Cepaea hortensis","Animalia","Mollusca","Gastropoda"
"Dryopteris campyloptera","Plantae","Tracheophyta","Polypodiopsida"
"Sphagnum squarrosum","Plantae","Bryophyta","Sphagnopsida"
"Argiope aurantia","Animalia","Arthropoda","Arachnida"
"Fumibotys fumalis","Animalia","Arthropoda","Insecta"
"Morus bassanus","Animalia","Chordata","Aves"
"Asplenium trichomanes","Plantae","Tracheophyta","Polypodiopsida"
"Ramariopsis kunzei","Fungi","Basidiomycota","Agaricomycetes"
"Eulonche lanceolaria","Animalia","Arthropoda","Insecta"
"Eutrochium maculatum","Plantae","Tracheophyta","Magnoliopsida"
"Boloria selene","Animalia","Arthropoda","Insecta"
"Ceratiomyxa fruticulosa","Protozoa","Mycetozoa","Protosteliomycetes"
"Orgyia leucostigma","Animalia","Arthropoda","Insecta"
"Melanitta fusca","Animalia","Chordata","Aves"
"Conocephalus fasciatus","Animalia","Arthropoda","Insecta"
"Tringa solitaria","Animalia","Chordata","Aves"
"Epistrophe grossulariae","Animalia","Arthropoda","Insecta"
"Brachypera zoilus","Animalia","Arthropoda","Insecta"
"Stictoleptura canadensis","Animalia","Arthropoda","Insecta"
"Leucophaeus atricilla","Animalia","Chordata","Aves"
"Maianthemum trifolium","Plantae","Tracheophyta","Liliopsida"
"Pterospora andromedea","Plantae","Tracheophyta","Magnoliopsida"
